GeoAreaName,Sex,TimePeriod_base,Value_base,Education level,Type of skill,TimePeriod_recent,Value_recent,PercentagePointChange
United Arab Emirates,MALE,2011,39.99188,LOWSEC,SKILL_MATH,2022,48.76,8.76812
United Arab Emirates,BOTHSEX,2011,35.00931,PRIMAR,SKILL_MATH,2019,53.41598,18.40667
United Arab Emirates,MALE,2011,35.08758,PRIMAR,SKILL_MATH,2019,55.40924,20.32166
United Arab Emirates,MALE,2011,58.05858,PRIMAR,SKILL_READ,2021,70.19566,12.13708
United Arab Emirates,FEMALE,2011,70.01603,PRIMAR,SKILL_READ,2021,79.63421,9.61818
United Arab Emirates,BOTHSEX,2011,63.98231,PRIMAR,SKILL_READ,2021,75.02675,11.04444
United Arab Emirates,FEMALE,2011,44.98287,LOWSEC,SKILL_MATH,2022,53.36,8.37713
United Arab Emirates,FEMALE,2011,34.93074,PRIMAR,SKILL_MATH,2019,51.89699,16.96625
Tunisia,MALE,2003,8.87297,PRIMAR,SKILL_MATH,2011,11.77208,2.89911
Tunisia,MALE,2003,23.67,LOWSEC,SKILL_MATH,2015,27.01861,3.34861
Tunisia,BOTHSEX,2003,8.93846,PRIMAR,SKILL_MATH,2011,11.28824,2.34978
Tunisia,BOTHSEX,2003,22.00931,LOWSEC,SKILL_MATH,2015,25.1943,3.18499
Tunisia,FEMALE,2003,42.55,LOWSEC,SKILL_READ,2015,32.67876,-9.87124
Tunisia,MALE,2003,31.87,LOWSEC,SKILL_READ,2015,23.48737,-8.38263
Tunisia,FEMALE,2003,20.4,LOWSEC,SKILL_MATH,2015,23.61881,3.21881
Tunisia,FEMALE,2003,9.01648,PRIMAR,SKILL_MATH,2011,10.75149,1.73501
Tunisia,BOTHSEX,2003,37.28912,LOWSEC,SKILL_READ,2015,28.4194,-8.86972
Egypt,MALE,2003,23.99398,LOWSEC,SKILL_MATH,2019,24.7568,0.76282
Egypt,FEMALE,2003,23.44653,LOWSEC,SKILL_MATH,2019,28.56425,5.11772
Egypt,BOTHSEX,2003,23.69188,LOWSEC,SKILL_MATH,2019,26.83767,3.14579
Egypt,BOTHSEX,2021,44.56804,PRIMAR,SKILL_READ,2021,44.56804,0
Egypt,MALE,2021,41.85862,PRIMAR,SKILL_READ,2021,41.85862,0
Egypt,FEMALE,2021,47.33321,PRIMAR,SKILL_READ,2021,47.33321,0
Yemen,BOTHSEX,2003,4.81833,PRIMAR,SKILL_MATH,2011,2.32531,-2.49302
Yemen,FEMALE,2003,3.80905,PRIMAR,SKILL_MATH,2011,2.03141,-1.77764
Yemen,MALE,2003,5.66698,PRIMAR,SKILL_MATH,2011,2.5247,-3.14228
Worldwide,BOTHSEX,,,GRAD23,SKILL_MATH,,58.78846475,
Worldwide,BOTHSEX,,,GRAD23,SKILL_READ,,54.61012537,
Worldwide,BOTHSEX,,,LOWSEC,SKILL_MATH,,49.24690618,
Worldwide,BOTHSEX,,,LOWSEC,SKILL_READ,,55.79593362,
Worldwide,BOTHSEX,,,PRIMAR,SKILL_MATH,,41.76559757,
Worldwide,BOTHSEX,,,PRIMAR,SKILL_READ,,60.51868565,
Worldwide,FEMALE,,,GRAD23,SKILL_MATH,,57.01298282,
Worldwide,FEMALE,,,GRAD23,SKILL_READ,,56.18889575,
Worldwide,FEMALE,,,LOWSEC,SKILL_MATH,,49.34660153,
Worldwide,FEMALE,,,LOWSEC,SKILL_READ,,61.10509087,
Worldwide,FEMALE,,,PRIMAR,SKILL_MATH,,41.52365117,
Worldwide,FEMALE,,,PRIMAR,SKILL_READ,,62.9512713,
Worldwide,MALE,,,GRAD23,SKILL_MATH,,58.89549872,
Worldwide,MALE,,,GRAD23,SKILL_READ,,52.74577175,
Worldwide,MALE,,,LOWSEC,SKILL_MATH,,49.33358418,
Worldwide,MALE,,,LOWSEC,SKILL_READ,,51.05993848,
Worldwide,MALE,,,PRIMAR,SKILL_MATH,,42.30942144,
Worldwide,MALE,,,PRIMAR,SKILL_READ,,58.21779546,
